ID,      alpha      ,       delta      ,     mu    alp,     mu    delta,    p   ,    mag
2725, 20 15 28.382167 ,  - 7 31 52.94718 , +    2.27 , +    3.06 ,    4.7 ,  6.85  
2726, 20 15 29.197241 ,  -68 25 57.15733 , -    0.70 , -   22.43 ,    1.9 ,  8.28  
2727, 20 15 43.064336 ,  - 2 33 51.69559 , -    0.10 , +    8.68 ,    7.5 ,  7.81  
2728, 20 15 50.608560 ,  -30  0 19.00021 , +   33.71 , +    7.72 ,    2.8 ,  6.30  
2729, 20 16  6.004330 ,  + 4 34 50.85322 , -   40.56 , -   52.24 ,   14.8 ,  6.44  
2730, 20 16 26.447815 ,  -35 11 54.48579 , -    0.01 , +   53.12 ,   23.4 ,  6.55  
2731, 20 16 47.450148 ,  -20 56   .39284 , -    6.25 , -   13.74 ,    4.0 ,  9.11  
2732, 20 16 59.916993 ,  -31 12 28.96473 , -   40.44 , -   63.51 ,    3.8 ,  7.74  
2733, 20 17  9.776319 ,  +15 52 21.61484 , -    4.66 , -   10.11 ,     .9 ,  7.48  
2734, 20 18 19.325282 ,  -51  5 12.64807 , -    2.16 , -   26.20 ,    6.1 ,  7.56  
2735, 20 18 26.960997 ,  -72 58 45.59987 , +    6.91 , -   37.35 ,    4.7 ,  6.57  
2736, 20 18 37.500656 ,  + 0 38 27.85530 , +   72.86 , -    1.18 ,    9.9 ,  6.92  
2737, 20 20  6.013743 ,  +68 52 49.14282 , +   18.56 , +   26.43 ,    4.7 ,  5.59  
2738, 20 20 20.524053 ,  +14 34  9.32125 , -    3.15 , +    5.68 ,    5.9 ,  6.17  
2739, 20 20 26.146568 ,  - 6 21 42.23793 , -   81.71 , -   90.10 ,    5.4 ,  6.63  
2740, 20 20 32.315504 ,  -55  3  3.17486 , +   10.88 , -   32.30 ,    4.0 ,  6.27  
2741, 20 21 13.238662 ,  -81 36 57.31679 , +  106.92 , -  171.77 ,   13.9 ,  8.65  
2742, 20 21 38.364007 ,  +55 13 35.30361 , +    1.09 , -    7.28 ,    1.5 ,  9.02  
2743, 20 21 41.034918 ,  -49 59 57.89473 , -  359.22 , -  250.04 ,   30.8 ,  6.26  
2744, 20 22 12.613504 ,  +50 32 28.08435 , +    9.02 , +    5.91 ,    4.9 ,  7.01  
2745, 20 22 56.357035 ,  + 3 23 16.12572 , -    5.23 , -    4.40 ,    1.8 ,  8.60  
2746, 20 23   .790510 ,  - 9 39 16.95533 , +   25.96 , -   16.16 ,    7.4 ,  6.29  
2747, 20 23 15.753898 ,  +11  5  6.28293 , +   16.42 , -   21.37 ,    8.4 ,  7.56  
2748, 20 23 24.906222 ,  +23 40 10.98347 , +    4.68 , +    2.04 ,    -.2 ,  7.97  
2749, 20 23 48.037787 ,  +37  1 34.09333 , +    2.59 , -    0.56 ,    2.2 ,  6.81  
2750, 20 23 51.621949 ,  +32 11 24.61925 , +   37.62 , -    5.74 ,   12.7 ,  4.43  
2751, 20 24 38.300380 ,  + 8 35 50.94941 , +    4.84 , -    7.31 ,    4.5 ,  6.77  
2752, 20 25 20.914020 ,  -29 59  4.47391 , +   15.60 , +    0.61 ,    2.4 ,  7.45  
2753, 20 25 40.529408 ,  +21 24 34.71025 , +    8.82 , -    8.64 ,    6.0 ,  5.68  
2754, 20 26 40.014057 ,  -42  3 19.66163 , +    9.93 , +   13.76 ,    3.1 ,  7.88  
2755, 20 27 25.610483 ,  -78 45 20.61030 , +   18.92 , -    9.50 ,   15.3 ,  7.93  
2756, 20 27 33.634538 ,  -74 17  6.27323 , +   29.27 , -   15.91 ,    1.6 ,  7.96  
2757, 20 28  1.285010 ,  -25 36 23.23987 , +   27.29 , +   23.99 ,   11.0 ,  6.78  
2758, 20 28  7.540016 ,  + 8 26 14.81030 , +   41.28 , +   16.72 ,    9.9 ,  6.23  
2759, 20 28 14.587294 ,  +81 25 21.74865 , +   33.96 , +   15.92 ,    7.1 ,  5.38  
2760, 20 28 46.738858 ,  -35 35 45.10609 , +    3.66 , -   20.56 ,    5.2 ,  6.09  
2761, 20 29 30.015975 ,  -12 35 28.98517 , -    2.91 , -    6.45 ,    4.6 ,  7.39  
2762, 20 29 31.341453 ,  -22 23 29.63882 , +    9.25 , -   30.73 ,    6.1 ,  6.13  
2763, 20 30 35.979745 ,  +18 32 59.22710 , +   14.38 , +    6.69 ,    3.8 ,  8.73  
2764, 20 30 48.611161 ,  -52 48 28.99431 , +   17.74 , -   19.51 ,    2.8 ,  7.84  
2765, 20 33  3.406547 ,  - 2  7 57.87255 , +   10.13 , -    2.85 ,    2.4 ,  8.86  
2766, 20 33 55.072407 ,  -44 30 57.77483 , +   11.38 , -   35.86 ,   15.1 ,  5.12  
2767, 20 34 11.697160 ,  -13 43 15.92868 , +   68.73 , +   70.24 ,   30.4 ,  6.11  
2768, 20 34 50.403210 ,  +51 51 15.19833 , -    3.01 , -    5.23 ,     .4 ,  6.19  
2769, 20 35  6.271513 ,  -71 11 19.60474 , -   38.24 , +   12.12 ,    4.0 ,  6.41  
2770, 20 36   .683184 ,  +79 25 49.38355 , -    2.83 , +    4.54 ,    1.3 ,  6.95  
2771, 20 36 43.632819 ,  - 2 32 59.84218 , +    9.87 , -   15.65 ,    1.4 ,  4.91  
2772, 20 37  4.673104 ,  +26 27 43.01119 , +   16.10 , -   11.29 ,   10.6 ,  5.59  
2773, 20 37  8.437688 ,  +64 21 37.90370 , +   12.66 , +    6.50 ,    2.9 ,  7.67  
2774, 20 37 35.312098 ,  -61 31 47.70762 , +   59.13 , -   71.85 ,   16.7 ,  4.86  
2775, 20 37 56.086930 ,  -57 52 26.41937 , +   78.83 , +   27.26 ,   13.2 ,  7.82  
2776, 20 38 30.148986 ,  -70  4 22.22285 , +    4.71 , -   27.16 ,    3.5 ,  7.78  
2777, 20 38 47.449887 ,  +89 24 23.42577 , -    1.90 , -   11.32 ,    4.1 ,  8.93  
2778, 20 39 54.671355 ,  -40 58 19.95898 , +    8.77 , -   37.22 ,    5.2 ,  8.85  
2779, 20 40 17.894640 ,  +60 30 18.95190 , +   14.40 , +  185.68 ,   30.1 ,  6.02  
2780, 20 40 53.278491 ,  +41 12  8.98734 , +    7.69 , -    0.96 ,    4.5 ,  7.01  
2781, 20 41 23.658449 ,  -31 35 53.83886 , +  111.01 , -   60.16 ,    7.7 ,  5.75  
2782, 20 41 25.200914 ,  +54 12 33.92434 , -    2.88 , -   10.82 ,    1.1 ,  7.99  
2783, 20 41 56.501195 ,  +41 43   .74794 , +    4.35 , +    1.01 ,    3.1 ,  5.68  
2784, 20 42  2.986392 ,  -76 10 50.13102 , +  190.52 , -    9.47 ,    9.6 ,  5.99  
2785, 20 42 15.717620 ,  -44 53  6.73313 , +    4.54 , +    1.77 ,    5.0 ,  6.99  
2786, 20 43 11.020783 ,  +66 39 26.80982 , +   25.26 , +   34.66 ,   23.4 ,  5.59  
2787, 20 44  4.100740 ,  -31 55 42.28483 , +    7.02 , -    2.69 ,    1.9 ,  7.39  
2788, 20 44  7.882827 ,  - 4  6 34.67239 , +    9.27 , -    4.85 ,     .0 ,  8.87  
2789, 20 44 33.273313 ,  -14 11  8.89328 , +   18.92 , -   17.00 ,    3.2 ,  6.87  
2790, 20 44 35.358727 ,  -28 12 16.65008 , +   49.21 , -   22.85 ,   11.3 ,  7.24  
2791, 20 44 37.061655 ,  -10 29 41.18034 , +  110.30 , -  123.81 ,   11.9 ,  8.21  
2792, 20 44 46.794506 ,  +20 29 22.93376 , -    9.03 , -   43.73 ,    7.5 ,  6.97  
2793, 20 45 19.986583 ,  + 7  2 20.03189 , -    9.46 , +    1.84 ,    2.7 ,  8.33  
2794, 20 46 16.684233 ,  -23 43 26.42445 , -    7.29 , -    8.63 ,    2.4 ,  7.52  
2795, 20 46 34.268620 ,  -17  9 46.44831 , -   65.68 , -   61.15 ,   28.4 ,  7.66  
2796, 20 47 25.945508 ,  +49 23 17.79888 , +   16.06 , -   22.47 ,    7.9 ,  8.15  
2797, 20 47 39.582540 ,  - 7  6 40.06079 , -    6.17 , -    3.47 ,    4.1 ,  8.58  
2798, 20 48  5.340220 ,  -34 44 58.74933 , +    4.52 , -   30.30 ,    3.2 ,  9.01  
2799, 20 48 10.283019 ,  +24 38 23.62457 , +    4.54 , +    8.85 ,    1.8 ,  8.77  
2800, 20 49   .518227 ,  +38 51 54.41066 , +    3.46 , -    2.88 ,    2.0 ,  7.52  
2801, 20 49 12.062753 ,  +35 33 48.82979 , +   12.28 , -   30.21 ,    5.3 ,  6.60  
2802, 20 49 15.192043 ,  -20 37 50.84678 , +  214.05 , -  190.89 ,   16.4 ,  8.13  
2803, 20 49 17.390388 ,  +64  2 32.12846 , -    3.44 , -    4.48 ,    1.5 ,  6.45  
2804, 20 49 18.171122 ,  -68 46 35.47741 , -   64.53 , -   49.86 ,   10.7 ,  5.41  
2805, 20 49 28.961142 ,  -46 13 36.57217 , +   37.86 , +   27.52 ,    8.0 ,  4.90  
2806, 20 50  4.931700 ,  +44  3 33.49139 , +  123.35 , +  132.05 ,   23.6 ,  5.06  
2807, 20 50 41.776871 ,  -12 32 41.65690 , +  125.84 , -   71.98 ,   13.0 ,  5.87  
2808, 20 53 11.279466 ,  +15 25 54.79746 , +   12.12 , +    4.53 ,    2.0 ,  8.86  
2809, 20 53 53.891861 ,  +33 26 16.41385 , -   20.94 , +   34.63 ,    5.3 ,  5.47  
2810, 20 54 20.073595 ,  -62 50  7.84818 , +   11.70 , -    6.75 ,    4.3 ,  7.24  
2811, 20 54 44.349775 ,  +75 55 32.05289 , +   30.96 , +   42.46 ,    7.5 ,  5.99  
2812, 20 55  4.316262 ,  -22 51  8.78102 , +    9.76 , -   33.68 ,    2.1 ,  9.01  
2813, 20 55 36.689636 ,  +13 43 17.52860 , +   17.76 , -   11.56 ,    6.8 ,  5.19  
2814, 20 56 17.010205 ,  +56 53 15.06642 , +    4.73 , +    4.80 ,    4.1 ,  6.23  
2815, 20 57 22.343488 ,  +87  1 57.60532 , +   14.98 , +   17.59 ,    6.6 ,  7.42  
2816, 20 57 53.698351 ,  + 8 23 40.04103 , +   17.93 , +    4.11 ,    2.3 ,  9.06  
2817, 20 58  4.817981 ,  +50 52 18.83154 , +   27.41 , +    5.21 ,    4.4 ,  8.84  
2818, 20 58 15.446957 ,  +82 59 13.89588 , +   17.37 , -    2.21 ,    6.4 ,  8.15  
2819, 20 58 43.700309 ,  +31 38 51.04205 , +   20.54 , +    9.73 ,    4.4 ,  7.18  
2820, 20 59 25.383311 ,  +59 26 18.93772 , +   44.21 , +   15.24 ,    5.5 ,  5.54  
2821, 20 59 59.693308 ,  -36  7 46.70805 , +  103.63 , -   58.29 ,   24.1 ,  6.10  
2822, 21  0 21.482669 ,  -51 15 55.12460 , -   87.40 , +  132.41 ,   35.0 ,  5.76  
2823, 21  1  7.685477 ,  +20 36 32.04776 , +    6.42 , -    5.68 ,    1.3 ,  9.23  
2824, 21  1 12.864412 ,  +36  1 33.63339 , -    3.78 , -    6.53 ,    4.9 ,  6.01  
2825, 21  1 22.244270 ,  -49 21  4.89078 , +   42.05 , +    7.52 ,   12.8 ,  7.70  
2826, 21  1 33.119527 ,  + 1 30 14.70798 , -   13.77 , -   15.95 ,     .2 ,  8.22  
2827, 21  1 36.920317 ,  +68  9 47.76044 , +    7.08 , -    1.80 ,    2.3 ,  7.34  
2828, 21  1 45.692353 ,  +11 33 28.28817 , +    0.34 , -    0.14 ,    5.5 ,  9.45  
2829, 21  3 29.506499 ,  - 1 34 46.80540 , +   21.39 , -    8.93 ,   20.6 ,  6.91  
2830, 21  4 45.375261 ,  + 2 16 11.17685 , +   94.70 , -   66.02 ,    8.4 ,  6.34  
2831, 21  5 14.249294 ,  -54 43 37.34762 , +   15.92 , -   37.29 ,    9.3 ,  5.17  
2832, 21  5 26.121050 ,  -60 24  9.25282 , +    9.59 , +    5.28 ,    2.8 ,  8.55  
2833, 21  5 31.981498 ,  - 4 21 43.45768 , -   15.68 , -   14.25 ,    2.2 ,  7.15  
2834, 21  6  1.146706 ,  -30  7 30.43750 , +   34.39 , -   69.07 ,    9.8 ,  5.69  
2835, 21  6 23.303397 ,  +71 25 54.46894 , -   48.78 , -  116.07 ,   20.3 ,  5.88  
2836, 21  6 23.479756 ,  +26 55 27.70146 , +   43.98 , -   19.09 ,    9.3 ,  6.13  
2837, 21  6 30.244388 ,  +31 11  4.76491 , +    3.94 , -    4.73 ,    1.9 ,  5.77  
2838, 21  7  8.349726 ,  +30 35 45.48278 , +    1.86 , -    4.24 ,     .9 ,  7.55  
2839, 21  7 24.657642 ,  -59 59 31.02693 , -   49.41 , -   16.33 ,   12.8 ,  6.77  
2840, 21  7 33.643735 ,  +15 39 31.16851 , +   48.88 , -   57.16 ,    8.8 ,  6.27  
2841, 21  7 40.855948 ,  +68 15 14.67609 , +    7.93 , +    3.75 ,    4.0 ,  6.88  
2842, 21  7 57.406683 ,  +14 40 25.24176 , +   12.20 , -    2.51 ,    2.0 ,  7.03  
2843, 21  8 14.447290 ,  +35 19 58.50606 , +    2.85 , -    1.99 ,    2.2 ,  8.64  
2844, 21  8 28.139297 ,  + 6 59 21.69416 , -   10.05 , +    2.28 ,    3.9 ,  6.14  
2845, 21  8 32.191719 ,  -33 31 57.19115 , +    7.59 , -   13.57 ,    3.9 ,  8.18  
2846, 21  8 33.624978 ,  -21 11 37.21670 , +   19.33 , -   60.02 ,   17.0 ,  5.30  
2847, 21  9  2.439085 ,  +48 44 44.86202 , +    6.03 , +    0.46 ,    1.4 ,  8.58  
2848, 21  9 33.260409 ,  -79 16 25.60304 , -   35.19 , +   31.70 ,   16.7 ,  7.90  
2849, 21  9 35.231569 ,  +75 13 40.00421 , -   15.77 , -   16.89 ,    5.9 ,  6.89  
2850, 21 10  7.433550 ,  -64  1 31.63491 , -    6.81 , -   56.09 ,    8.0 ,  6.92  
2851, 21 10 32.433250 ,  -18 19 50.72123 , +    4.87 , -   14.63 ,    3.5 ,  8.17  
2852, 21 10 44.297958 ,  -10 12 34.06593 , -    1.33 , -    8.86 ,    4.0 ,  8.28  
2853, 21 11 34.305455 ,  -56 31  1.92159 , +   20.72 , -   16.00 ,    6.7 ,  6.93  
2854, 21 11 41.337932 ,  -14 28 20.56082 , +   38.68 , -    0.06 ,    7.4 ,  6.47  
2855, 21 11 54.814011 ,  +23  4 49.94001 , -   25.69 , -   39.53 ,    5.5 ,  7.33  
2856, 21 12  1.180482 ,  + 8 46 38.41782 , -    3.94 , -    8.25 ,    3.8 ,  8.69  
2857, 21 12  2.669773 ,  -24  7 17.23270 , +   18.40 , +    6.05 ,    3.7 ,  7.99  
2858, 21 13 21.581584 ,  +81 13 51.49627 , -    3.52 , +    4.31 ,    6.3 ,  6.12  
2859, 21 13 29.448408 ,  -47 33  2.49906 , +    8.22 , -    0.45 ,    2.0 ,  6.87  
2860, 21 13 32.614687 ,  -54 59 19.46222 , +    4.17 , -    2.24 ,    3.4 ,  7.21  
2861, 21 13 57.352148 ,  -20  5 16.39377 , -    1.87 , +    8.00 ,    4.0 ,  7.98  
2862, 21 15 27.237816 ,  +42  1 34.96987 , +   59.85 , +  129.68 ,   14.6 ,  6.60  
2863, 21 15 46.785298 ,  -36 12 38.55291 , +   29.57 , -    6.25 ,    3.7 ,  6.13  
2864, 21 15 57.172839 ,  +25 26  1.80846 , -   65.71 , -   37.77 ,    5.5 ,  6.99  
2865, 21 17  2.132375 ,  - 1  4 38.73230 , +  160.89 , -   23.27 ,   23.3 ,  8.08  
2866, 21 17 14.246695 ,  +55 47 52.80479 , +   16.47 , +   13.44 ,    2.2 ,  6.00  
2867, 21 18 11.072466 ,  - 4 31 10.12434 , +   11.07 , +   13.41 ,    4.4 ,  5.83  
2868, 21 18 16.249254 ,  -75 20 48.31558 , +   20.59 , -   36.17 ,    8.6 ,  6.61  
2869, 21 18 25.259940 ,  +17 43 15.00646 , +   33.02 , -    0.62 ,    3.8 ,  7.46  
2870, 21 18 37.177495 ,  + 8 57 34.76732 , +  142.38 , -   41.91 ,   23.7 ,  7.27  
2871, 21 18 52.026466 ,  +11 12 12.15102 , +   22.33 , +   16.50 ,    2.6 ,  5.97  
2872, 21 19 22.220299 ,  +64 52 18.67940 , +    5.26 , +    5.38 ,    3.0 ,  5.19  
2873, 21 19 28.750731 ,  +49 30 37.05886 , +   14.75 , +    2.03 ,    6.0 ,  5.75  
2874, 21 20 14.658641 ,  +36 48 24.29331 , +    5.52 , -    2.76 ,    1.8 ,  8.27  
2875, 21 21  4.394254 ,  +23 51 21.48136 , +  243.48 , -  119.82 ,   11.6 ,  5.58  
2876, 21 21 47.977300 ,  -36 25  2.07013 , +   13.55 , +    8.78 ,    2.1 ,  9.12  
2877, 21 21 49.100201 ,  -29  9 57.85431 , +   12.73 , -   21.61 ,    2.7 ,  6.53  
2878, 21 22  1.716742 ,  + 4 20 44.20801 , +   22.99 , -    5.13 ,    7.8 ,  6.69  
2879, 21 22 21.271886 ,  +77  5 24.93054 , -   14.29 , -   27.81 ,    7.1 ,  6.56  
2880, 21 22 30.857216 ,  -44  8 43.47558 , -   75.96 , -   34.96 ,   11.3 ,  8.63  
2881, 21 22 56.255448 ,  - 9 19  9.59365 , -   27.12 , -   24.11 ,    4.5 ,  5.99  
2882, 21 23 35.387147 ,  +14  3   .63501 , +    5.68 , -    8.45 ,    1.4 ,  6.76  
2883, 21 24  9.593410 ,  -20 51  6.72515 , -    7.62 , -  126.68 ,   14.3 ,  5.38  
2884, 21 25 16.958137 ,  - 3 33 24.28422 , -   11.61 , -   69.00 ,    7.9 ,  5.48  
2885, 21 25 38.159436 ,  +66 42 51.00513 , -    4.03 , -    6.90 ,     .9 ,  8.87  
2886, 21 26 15.474638 ,  +79 48 16.96600 , +   10.95 , +   12.11 ,    4.4 ,  8.65  
2887, 21 26 22.873250 ,  -37 49 45.94660 , +  166.71 , -   11.00 ,   11.8 ,  5.64  
2888, 21 26 27.047271 ,  -15 14 42.78516 , -   29.22 , +   10.46 ,    5.9 ,  7.97  
2889, 21 26 28.053322 ,  + 1  6 12.08957 , +  111.00 , -  162.00 ,   20.8 ,  6.12  
2890, 21 27  6.613617 ,  +16  7 26.95454 , -   79.61 , -   95.97 ,   29.5 ,  6.72  
2891, 21 27 21.366015 ,  +37  7   .47371 , +    2.43 , +    2.59 ,    3.2 ,  5.30  
2892, 21 27 40.057609 ,  +27 36 30.93931 , +   41.95 , +   20.86 ,   17.9 ,  5.39  
2893, 21 27 46.141459 ,  +66 48 32.74331 , -   10.74 , -   20.89 ,    4.2 ,  5.42  
2894, 21 28  8.251475 ,  +32 13 31.18943 , +  134.35 , +   79.66 ,   22.4 ,  5.75  
2895, 21 28 44.924160 ,  -69 30 19.38863 , +   82.14 , -   46.30 ,    8.2 ,  5.47  
2896, 21 29  2.966388 ,  +61 25 59.23337 , -   41.53 , +    4.67 ,   13.4 ,  7.09  
2897, 21 29 23.131190 ,  -12 46 18.05711 , -   11.00 , -   10.76 ,    1.8 ,  9.34  
2898, 21 29 51.474916 ,  -43 30 26.74147 , +   57.22 , -   46.37 ,    3.9 ,  6.96  
2899, 21 29 51.803064 ,  + 1 36 21.26514 , +    6.62 , -    0.42 ,    4.8 ,  8.69  
2900, 21 29 59.575646 ,  -19  8 52.18101 , +   33.75 , -   44.39 ,    7.5 ,  6.57  
2901, 21 30  6.036096 ,  +35 28 20.68563 , -    7.27 , -    5.63 ,    3.1 ,  7.29  
2902, 21 30 14.185320 ,  - 1 32  4.17643 , +   25.78 , -   11.55 ,    6.1 ,  8.06  
2903, 21 30 21.279636 ,  +14 52  4.55196 , -    9.70 , -    5.66 ,    6.4 ,  9.04  
2904, 21 30 45.299836 ,  -75 12  9.16002 , +    9.59 , +    3.52 ,    3.4 ,  7.66  
2905, 21 30 50.759517 ,  -62 14 21.13799 , -    7.64 , +    1.73 ,   -1.2 ,  9.06  
2906, 21 31 34.363373 ,  - 9 44 40.92651 , -  123.20 , -  121.57 ,    9.3 ,  7.40  
2907, 21 32  5.876297 ,  -41 10 45.51629 , +   19.58 , +   10.84 ,    8.5 ,  5.29  
2908, 21 32 33.262995 ,  -24 35 25.50347 , +   69.53 , +    6.28 ,   14.4 ,  6.43  
2909, 21 33 35.716720 ,  +27 36  9.66846 , +   19.08 , -    4.29 ,    2.6 ,  7.86  
2910, 21 33 54.575873 ,  -82 40 59.10415 , +   22.74 , -    2.53 ,    4.0 ,  6.35  
2911, 21 34  1.374842 ,  -46 36 38.61499 , +    7.94 , -   46.25 ,    6.6 ,  6.91  
2912, 21 34  8.496777 ,  +24  5 27.15145 , +    2.58 , -   12.46 ,    1.7 ,  8.60  
2913, 21 34 46.565343 ,  +38 32  2.60708 , +  117.91 , +   94.90 ,   12.7 ,  4.87  
2914, 21 34 53.001744 ,  -29 41 46.02355 , +   14.09 , -   15.11 ,    4.6 ,  6.42  
2915, 21 35 17.572501 ,  -25 19  5.08425 , +   69.13 , +   14.02 ,   16.0 ,  7.96  
2916, 21 37  4.830597 ,  -19 27 57.64534 , +   12.64 , +    0.38 ,    4.9 ,  4.51  
2917, 21 37  6.541124 ,  +11 43 10.18225 , +   22.33 , +   10.21 ,    5.3 ,  7.24  
2918, 21 37 55.224234 ,  +62  4 54.98418 , -    2.06 , -    2.72 ,    1.5 ,  4.76  
2919, 21 38 56.378613 ,  -79 26 33.29750 , +   70.93 , -   26.60 ,   16.6 ,  6.17  
2920, 21 39 28.106348 ,  -10 34 36.81856 , +   21.65 , -   51.40 ,   10.2 ,  6.07  
2921, 21 39 33.266922 ,  + 2 14 36.81206 , -   30.81 , -   83.95 ,   13.5 ,  5.10  
2922, 21 39 40.259519 ,  +17 58  9.22539 , -   15.03 , -    4.56 ,    7.0 ,  8.45  
2923, 21 39 48.026696 ,  +29 56 38.29654 , +    6.62 , -    4.62 ,    4.3 ,  8.35  
2924, 21 39 56.128820 ,  -35 50 33.28899 , +   38.53 , -   14.44 ,    5.1 ,  8.36  
2925, 21 40  2.394183 ,  -40 29 37.17644 , +    7.20 , +    6.48 ,    2.1 ,  9.11  
2926, 21 40 31.988019 ,  - 2 30 59.29359 , +   54.88 , +   14.72 ,    5.6 ,  7.79  
2927, 21 40 32.447350 ,  +59 45  9.91765 , +   55.03 , +   25.38 ,    4.6 ,  6.90  
2928, 21 40 43.306819 ,  +54 52 19.74144 , +    7.40 , +    3.32 ,    4.6 ,  6.16  
2929, 21 42 15.451552 ,  + 5 40 48.49512 , +   11.22 , -    5.72 ,    6.2 ,  5.30  
2930, 21 42 21.892042 ,  -50  5 36.99726 , +   82.25 , +    4.62 ,   13.2 ,  7.62  
2931, 21 43 24.899969 ,  - 7 24 29.71003 , +    2.15 , +    2.23 ,    5.8 ,  8.34  
2932, 21 43 33.658520 ,  -68  3 53.08885 , +    4.66 , +   10.82 ,    2.9 ,  7.20  
2933, 21 43 54.720844 ,  -54 29 59.77323 , -    0.92 , -   11.41 ,    2.9 ,  7.10  
2934, 21 43 59.030746 ,  -57 19 30.88644 , -  116.53 , -   52.37 ,   23.0 ,  6.49  
2935, 21 44 22.848943 ,  +84  2 18.76438 , +   83.55 , +   33.90 ,   10.7 ,  7.11  
2936, 21 44 29.471862 ,  -38 33  9.10714 , +   81.49 , -  162.04 ,    4.1 ,  6.28  
2937, 21 44 31.330171 ,  +14 46 18.97715 , +  231.60 , -  113.89 ,   54.3 ,  5.96  
2938, 21 45 28.828695 ,  -71  0 31.85847 , +   13.10 , -   11.46 ,    4.4 ,  6.02  
2939, 21 45 33.506142 ,  -28 43 29.12409 , +  101.29 , -   32.05 ,   15.3 ,  7.64  
2940, 21 45 46.067210 ,  + 7 59 15.16311 , -   78.37 , +    0.07 ,   13.2 ,  7.23  
2941, 21 46  4.364217 ,  +22 56 55.96450 , +    8.91 , -    2.67 ,    1.6 ,  5.29  
2942, 21 46 14.581292 ,  -47 24 11.29688 , -   11.43 , -    5.95 ,    3.4 ,  7.66  
2943, 21 46 19.783415 ,  -62 32 59.26309 , +   39.73 , -   37.72 ,    5.7 ,  6.91  
2944, 21 46 59.559308 ,  -25  4 24.74516 , +   18.49 , -   72.42 ,   12.2 ,  8.16  
2945, 21 47 21.887400 ,  +19  5 50.67926 , +   10.95 , +    1.75 ,    3.4 ,  8.17  
2946, 21 49  7.016215 ,  -22 49  6.59911 , +   16.10 , +   15.24 ,    8.9 ,  8.56  
2947, 21 49 12.625856 ,  -15  7 14.13904 , +    1.66 , -    0.63 ,    5.6 ,  8.06  
2948, 21 49 26.866707 ,  +20 27 44.79979 , +    1.45 , +    0.23 ,    2.5 ,  6.27  
2949, 21 49 36.625138 ,  -82 26  2.38760 , +   83.10 , -   49.76 ,   10.1 ,  7.16  
2950, 21 49 40.093818 ,  +41  8 55.63373 , -    3.10 , -    5.71 ,     .7 ,  6.48  
2951, 21 49 53.898695 ,  -27 24 14.14814 , +   30.97 , -   10.56 ,    7.9 ,  7.12  
2952, 21 50   .125647 ,  -64 42 45.13390 , -    3.47 , -   38.51 ,    9.7 ,  5.62  
2953, 21 50 11.462399 ,  -11 20 35.20104 , -    1.59 , -    7.10 ,    1.4 ,  8.14  
2954, 21 50 44.432354 ,  +55 24 42.24613 , +   42.70 , +   21.58 ,    6.1 ,  9.05  
2955, 21 51 18.989438 ,  +22 51 35.79404 , +   24.11 , +    6.49 ,    3.8 ,  7.85  
2956, 21 52  4.743274 ,  - 1 17  6.12611 , +   22.96 , -    6.08 ,    9.1 ,  8.66  
2957, 21 52 21.473089 ,  -41 24 45.55766 , +    1.70 , -   20.24 ,    4.8 ,  6.84  
2958, 21 52 48.151246 ,  -57 20  4.82719 , -   18.69 , +    6.29 ,    4.5 ,  7.88  
2959, 21 53 24.886263 ,  +11 38  3.96350 , -   27.96 , -   12.79 ,    4.8 ,  7.81  
2960, 21 54 26.550256 ,  +80 18 30.81359 , +    1.81 , -   14.42 ,    3.9 ,  6.43  
2961, 21 54 42.972483 ,  +67 45 13.68317 , +   32.95 , +   18.81 ,    8.3 ,  6.96  
2962, 21 54 53.153900 ,  +56 36 40.41412 , -    3.99 , -    2.67 ,    1.2 ,  5.74  
2963, 21 54 53.785269 ,  +15 13 31.85820 , +   38.37 , -   25.13 ,   11.7 ,  7.74  
2964, 21 54 54.371798 ,  +32 20 19.45089 , -    8.36 , -    2.76 ,    1.7 ,  7.09  
2965, 21 55 29.829604 ,  +44 56 54.77140 , +   15.37 , -    1.63 ,    3.1 ,  7.72  
2966, 21 56  3.445285 ,  -52 27 49.53152 , +   22.49 , -   38.22 ,    5.2 ,  6.50  
2967, 21 56 56.371978 ,  +12  4 35.36964 , -   28.17 , -   14.02 ,    7.4 ,  5.54  
2968, 21 57  4.495024 ,  -19 11 23.62875 , -   20.99 , +    4.25 ,    5.2 ,  7.50  
2969, 21 57  9.820003 ,  +83 29 32.82869 , +    5.10 , -    7.47 ,    6.4 ,  7.79  
2970, 21 57 13.017930 ,  +35 20 57.98322 , +    9.65 , -    4.32 ,    2.2 ,  8.80  
2971, 21 57 39.355683 ,  - 8 33 51.54204 , +    9.39 , +    5.40 ,    4.7 ,  6.80  
2972, 21 57 51.056668 ,  +74 59 48.17115 , -    4.19 , -   10.60 ,    2.9 ,  6.32  
2973, 21 58 28.417700 ,  + 3 46 36.90095 , -  245.75 , -  132.99 ,   23.6 ,  6.95  
2974, 21 58 43.791496 ,  -21 10 58.59495 , +   23.91 , -    5.64 ,    1.1 ,  6.06  
2975, 21 58 49.915407 ,  +70 53  7.01446 , +   25.17 , +   12.17 ,    6.9 ,  9.17  
2976, 22  0  1.338671 ,  +39 13 58.40926 , +   11.20 , +    6.30 ,    2.6 ,  8.95  
2977, 22  0  7.927558 ,  + 6 43  2.77904 , +   14.48 , +    1.21 ,    3.0 ,  6.00  
